Timestamp,Latitude,Longitude,AmbientTemp_C,Humidity_Pct,CenterIRTemp_C
14:00:00,34.083301,-117.316001,26.58,44.93,28.98
14:00:05,34.083299,-117.315800,26.54,45.61,28.22
14:00:10,34.083298,-117.315598,26.66,45.49,28.76
14:00:15,34.083300,-117.315400,26.56,45.87,28.41
14:00:20,34.083300,-117.315199,26.88,45.18,29.01
14:00:25,34.083299,-117.315001,26.76,44.53,28.28
14:00:30,34.083300,-117.314800,26.61,45.03,28.91
14:00:35,34.083301,-117.314599,26.73,44.75,28.92
14:00:40,34.083302,-117.314401,26.63,45.78,28.43
14:00:45,34.083302,-117.314202,26.79,45.65,28.92
14:00:50,34.083298,-117.314001,26.90,44.05,28.24
14:00:55,34.083301,-117.313799,26.75,44.97,28.80
14:01:00,34.083301,-117.313598,26.83,45.26,28.37
14:01:05,34.083299,-117.313402,26.85,45.08,28.35
14:01:10,34.083298,-117.313201,26.86,44.12,28.76
14:01:15,34.083302,-117.313001,26.59,45.60,28.30
14:01:20,34.083302,-117.312800,26.68,44.80,28.40
14:01:25,34.083301,-117.312601,26.55,44.01,29.03
14:01:30,34.083300,-117.312401,26.85,44.58,28.49
14:01:35,34.083299,-117.312201,26.70,44.93,28.91
14:01:40,34.083300,-117.312002,26.86,45.93,28.72
14:01:45,34.083300,-117.311800,26.59,44.37,28.56
14:01:50,34.083298,-117.311601,26.64,44.98,28.09
14:01:55,34.083301,-117.311400,26.84,45.91,28.24
14:02:00,34.083301,-117.311199,26.57,45.49,28.68
14:02:05,34.083299,-117.311000,26.89,45.80,28.85
14:02:10,34.083299,-117.310801,26.67,44.50,28.57
14:02:15,34.083300,-117.310601,26.64,45.04,28.62
14:02:20,34.083299,-117.310400,26.89,44.62,28.42
14:02:25,34.083300,-117.310199,26.87,45.43,28.67
14:02:30,34.083300,-117.310000,26.82,45.83,28.70
14:02:35,34.083298,-117.309800,26.74,45.59,28.04
14:02:40,34.083301,-117.309600,26.52,44.42,28.96
14:02:45,34.083301,-117.309400,26.74,45.05,28.10
14:02:50,34.083302,-117.309200,26.74,45.14,28.56
14:02:55,34.083299,-117.308998,26.62,45.63,28.38
14:03:00,34.083301,-117.308801,26.55,45.74,28.61
14:03:05,34.083302,-117.308598,26.65,45.23,28.34
14:03:10,34.083300,-117.308399,26.62,44.14,28.55
14:03:15,34.083301,-117.308201,26.66,45.22,28.23
14:03:20,34.083499,-117.315999,26.74,44.57,28.86
14:03:25,34.083500,-117.315802,26.60,44.09,28.76
14:03:30,34.083500,-117.315598,26.56,45.94,28.60
14:03:35,34.083502,-117.315398,26.69,44.17,28.65
14:03:40,34.083499,-117.315202,26.59,45.69,28.44
14:03:45,34.083499,-117.315001,26.51,44.55,28.85
14:03:50,34.083500,-117.314799,26.69,45.95,28.39
14:03:55,34.083499,-117.314599,26.62,44.17,28.46
14:04:00,34.083501,-117.314399,26.70,45.66,28.64
14:04:05,34.083500,-117.314201,26.61,44.94,28.45
14:04:10,34.083498,-117.314001,26.64,44.47,28.53
14:04:15,34.083499,-117.313799,26.55,44.31,28.55
14:04:20,34.083502,-117.313599,26.64,45.29,29.01
14:04:25,34.083500,-117.313402,26.65,45.24,28.11
14:04:30,34.083499,-117.313201,26.52,45.99,28.69
14:04:35,34.083500,-117.312999,26.69,45.49,28.66
14:04:40,34.083499,-117.312802,26.65,45.10,28.42
14:04:45,34.083501,-117.312600,26.51,45.17,28.62
14:04:50,34.083498,-117.312399,26.61,45.19,28.94
14:04:55,34.083498,-117.312198,26.57,44.16,28.64
14:05:00,34.083501,-117.312001,26.57,44.19,28.19
14:05:05,34.083501,-117.311800,26.81,45.17,28.39
14:05:10,34.083499,-117.311601,26.83,44.48,28.93
14:05:15,34.083502,-117.311401,26.51,44.80,28.34
14:05:20,34.083499,-117.311200,26.56,44.84,28.08
14:05:25,34.083499,-117.311001,26.52,44.81,28.15
14:05:30,34.083502,-117.310802,26.84,44.80,29.01
14:05:35,34.083501,-117.310598,26.69,45.31,28.15
14:05:40,34.083501,-117.310399,26.59,45.03,29.03
14:05:45,34.083499,-117.310199,26.63,44.79,28.05
14:05:50,34.083502,-117.309999,26.54,45.45,28.85
14:05:55,34.083502,-117.309799,26.55,45.71,28.22
14:06:00,34.083500,-117.309601,26.62,44.51,28.96
14:06:05,34.083498,-117.309402,26.65,45.18,28.24
14:06:10,34.083501,-117.309202,26.68,45.95,28.68
14:06:15,34.083499,-117.309001,26.73,44.48,28.27
14:06:20,34.083502,-117.308800,26.87,44.20,28.21
14:06:25,34.083502,-117.308598,26.57,44.41,28.88
14:06:30,34.083500,-117.308402,26.63,44.65,29.04
14:06:35,34.083499,-117.308202,26.59,45.94,28.65
14:06:40,34.083699,-117.316001,26.77,45.08,28.80
14:06:45,34.083702,-117.315801,26.67,45.92,28.20
14:06:50,34.083699,-117.315599,26.64,45.06,28.55
14:06:55,34.083701,-117.315400,26.72,45.17,28.57
14:07:00,34.083699,-117.315200,26.65,44.59,28.44
14:07:05,34.083699,-117.315000,26.84,45.19,28.18
14:07:10,34.083701,-117.314799,26.73,45.84,28.14
14:07:15,34.083699,-117.314600,26.71,44.17,28.26
14:07:20,34.083701,-117.314401,26.63,44.28,29.03
14:07:25,34.083699,-117.314199,26.57,45.26,28.62
14:07:30,34.083701,-117.314000,26.60,45.16,28.53
14:07:35,34.083700,-117.313799,26.68,45.58,28.84
14:07:40,34.083700,-117.313600,26.63,45.49,28.98
14:07:45,34.083699,-117.313400,26.86,44.09,28.88
14:07:50,34.083700,-117.313200,26.67,45.42,28.70
14:07:55,34.083698,-117.313000,26.54,44.83,28.32
14:08:00,34.083701,-117.312801,26.58,45.90,28.22
14:08:05,34.083700,-117.312601,26.52,44.65,28.90
14:08:10,34.083699,-117.312402,26.51,45.34,30.32
14:08:15,34.083700,-117.312201,26.72,45.21,30.77
14:08:20,34.083701,-117.312001,26.90,45.22,30.40
14:08:25,34.083699,-117.311800,26.65,44.71,30.98
